#version 1.0
#Date 11-13-2017
1-Oct	mitochondrial intermediate peptidase
CDC60	cytosolic leucyl tRNA synthetase
CDC68	chromatin-remodeling protein
CDC73	accessory factor associated with RNA polymerase II
CDC123	cell proliferation protein CDC123
CDD1	cytidine deaminase
CDF-A	CDF-like metal transporter
CDF-B	CDF-like metal transporter
CDF-D	CDF-like metal transporter
CDF-E	CDF-like metal transporter
CDF-F	CDF-like metal transporter
CDF-G	CDF-like metal transporter
CDF-H-1	CDF-like metal transporter
CDF-H-2	CDF-like metal transporter
CDG1	cysteine dioxygenase
CDH	cellobiose deshydrogenase/glucose-methanol-choline oxidoreductase
CDH1	substrate-specific activator of APC-dependent proteolysis
CDH2	Chromodomain-helicase DNA-binding protein
CDH-1_0	Cellobiose dehydrogenase
CDH-1_1	Cellobiose dehydrogenase
CDH-1_2	Cellobiose dehydrogenase
CDH-1_3	Cellobiose dehydrogenase
CDK1	Cell division protein kinase
CDK2	Cyclin-dependent kinase
CDK3	Cyclin-dependent kinase 3
CDKA-1	Cyclin-dependent kinase A-1
CDKB2-1	Cyclin-dependent kinase B2-1
CDKC2	Cyclin-dependent kinase C-2
CDKN3	Cyclin-dependent kinase inhibitor 3
CDO1	Cysteine dioxygenase
CDR1	Multidrug resistance protein
CDR2	ATP dependent transporter multidrug resistance (SNQ2)
CDR3	Opaque-specific ABC transporter CDR3
CDR4	ABC_PDR_domain2
CDR4.1	ABC transporter
CDR4.2	ABC transporter
CDR5	ATP-dependent ABC transporter
CDR6	ABC transporter family protein
CDS1	phosphatidate cytidylyltransferase
CDS2	Phosphatidate cytidylyltransferase 2
CDUP1	dioxygenase
CDUP3	rRNA processing
CEF1	Pre-mRNA-splicing factor CEF1
CEF3	translation elongation factor EF-3
CEG1	Dcp1p-Dcp2p decapping enzyme complex alpha subunit
CEK1	mitogen-activated serine/threonine-protein kinase
CEM1	Mitochondrial beta-keto-acyl synthase
CENPI	Centromere protein I
CEP3	Cbf3 kinetochore protein complex subunit b
CEP104	Centrosomal protein
CES	Carboxylesterase/lipase/ esterase
CETN1	Centrin-1
CETN3	Centrin-3
CEX1	Nuclear aminoacylation-dependent tRNA export pathway component
CFAP20	Cilia- and flagella-associated protein 20
CFBP	Fructose-1,6-bisphosphatase, cytosolic
CFD1	cytosolic Fe-S cluster assembly factor CFD1
CFDP1	Craniofacial development protein 1
CFIS2	Pre-mRNA cleavage factor Im subunit 2
CFL1	putative ferric reductase transmembrane component
CFL1_0	Ferric/cupric reductase transmembrane component 1
CFL4	ferric/cupric-chelate reductase
CFL5	ferric-chelate reductase
CFS1	CFS1-like protein
CFS2	cyclopropane fatty acid synthase
CFS3	CFS1-like protein
CFS3.2	cyclopropane-fatty-acyl-phospholipid synthase
CFS3.3	cyclopropane-fatty-acyl-phospholipid synthase
CFS3.4	cyclopropane-fatty-acyl-phospholipid synthase
CFT1	mRNA cleavage and polyadenylation factor subunit
CFT2	cleavage factor two protein 2
CGA1	Glucoamylase 1 precursor (Glucan 1,4-alpha-glucosidase) (1,4-alpha-D-glucan glucohydrolase)
CGI121	EKC/KEOPS complex subunit CGI121
CGPB	Cutinase gene palindrome-binding protein
CGR1	rRNA-processing protein CGR1
CGT1	mRNA guanylyltransferase
CHA1	catabolic L-serine/threonine dehydratase
CHA4	activatory protein CHA4
CHAF1B	Chromatin assembly factor 1 subunit B
CHAT	Choline O-acetyltransferase
CHB2101	SWI/SNF complex protein
CHB16201	SWI/SNF complex protein
CHC1	Clathrin heavy chain
CHC2101	SWI/SNF complex protein
CHC16201	SWI/SNF complex protein
CHD1	transcriptional regulator
CHD9	Chromodomain-helicase-DNA-binding protein 9
CHDH	Choline dehydrogenase, mitochondrial
CHE2101	Snf5 subunit
CHE16201	SWI-SNF chromatin remodeling complex, Snf5 subunit
CHI1_0	Chitinase 1
CHI1_1	Chitinase 1
CHI1_2	Chitinase 1
CHI1_3	Chitinase 1
CHI1_4	Chitinase 1
CHI1_5	Chitinase 1
CHI1_6	Chitinase 1
CHI1_7	Chitinase 1
CHI1_8	Chitinase 1
CHI2	Chitinase 2
CHI2_0	Chitinase 2
CHI2_1	Chitinase 2
CHI2_2	Chitinase 2
CHI3L2	Chitinase-3-like protein 2
CHI18-2	glycoside hydrolase family 18 protein
CHI18-3	glycoside hydrolase family 18 protein
CHI18-4	glycoside hydrolase family 18 protein
CHI18-5	glycoside hydrolase family 18 protein
CHI18-13	glycoside hydrolase family 18 protein
CHIA_0	Acidic endochitinase
CHIA_1	Acidic endochitinase
CHIP	Acidic endochitinase SP2
CHIT	Endochitinase
CHIT1_0	Chitotriosidase-1
CHIT1_1	Chitotriosidase-1
CHIT36	glycoside hydrolase family 18 protein
CHK1_0	Serine/threonine-protein kinase CHK1
CHK1_1	Histidine protein kinase 1
CHKB	choline/ethanolamine kinase
CHL1	syntenic
CHL4	chromosome loss-related protein
CHM1	conserved putative membrane protein
CHM7	Putative component of the ESCRT-III like complex
CHMP5	Charged multivesicular body protein 5
CHMP6	Charged multivesicular body protein 6
CHN1	N-chimaerin
CHO1	CDP-diacylglycerol-serine O-phosphatidyltransferase
CHO2	phosphatidylethanolamine N-methyltransferase
CHO2_0	Phosphatidylethanolamine N-methyltransferase
CHO2_1	Phosphatidylethanolamine N-methyltransferase
CHORD	Cysteine and histidine-rich domain-containing protein
CHP1	Ca2+-binding actin-bundling protein (actinin), alpha chain (EF-Hand protein superfamily)
CHR1	RNA-dependent ATPase
CHR2	Cycloheximide resistance protein
CHR3	Cycloheximide resistance protein
CHR4	Chitin synthase regulatory factor 4
CHR5	Protein CHROMATIN REMODELING 5
CHR2102	DNA repair protein, SNF2 family
CHR2105	SNF2 family DNA-dependent ATPase
CHR2107	SNF2 family DNA-dependent ATPase
CHR2114	chromatin remodeling complex SWI/SNF, component SWI2 and related ATPase
CHR2116	SWI/SNF family of DNA-dependent ATPase
CHR2117	SNF2 family chromodomain-helicase DNA-binding protein
CHR2118	SNF2 family DNA-dependent ATPase domain-containing protein
CHR2119	transcription-coupled repair protein CSB/RAD26
CHR2121	SNF2 superfamily RAD26-like protein
CHR2122	SNF2 superfamily RAD5 protein
CHR16201	SNF2 family DNA-dependent ATPase
CHR16202	SNF2 family DNA-dependent ATPase
CHR16203	SNF2 family DNA-dependent ATPase
CHR16204	SNF2 family DNA-dependent ATPase
CHR16205	DNA repair protein, SNF2 family DNA-dependent ATPase
CHR16206	DNA repair protein, SNF2 family
CHR16208	SNF2 family DNA-dependent ATPase
CHR16209	SNF2 family DNA-dependent ATPase
CHR16210	RAD5-like protein
CHR16212	chromodomain-helicase DNA-binding protein
CHR16213	SWR1 complex protein, SNF2 family DNA-dependent ATPase
CHR16215	SNF2 superfamily chromatin remodeling protein
CHR16216	SNF2 family DNA-dependent ATPase
CHR16217	SNF2 family DNA-dependent ATPase
CHR16218	SNF2 superfamily protein
CHR16219	SNF2 superfamily protein
CHR16220	RAD26-like SNF2 family DNA-dependent ATPase
CHS1	Chitin synthase 1
CHS1_0	Chitin synthase 1
CHS1_1	Chitin synthase 1
CHS1_2	Chitin synthase 1
CHS1_3	Chitin synthase 1
CHS2	Chitin synthase 2
CHS2.2	chitin synthase 2.2
CHS3	chitin synthase, class
CHS4.1	Activator of Chs3-like protein
CHS4.2	Activator of Chs3-like protein
CHS4.3	Activator of Chs3-like protein
CHS5	Chitin biosynthesis protein CHS5
CHS5.1	chitin biosynthesis protein
CHS5.2	CHS5 chitin synthase, class V
CHS5_0	Chitin biosynthesis protein CHS5
CHS5_1	Chitin synthase 5
CHS6	chitin synthase, class VI
CHS7	chitin synthase 7
CHS7_0	Chitin synthase export chaperone
CHS7_1	Chitin synthase export chaperone
CHS7_2	Chitin synthase export chaperone
CHS7_3	Chitin synthase 7
CHS8	Chitin synthase 8
CHS8_0	Chitin synthase 8
CHS8_1	Chitin synthase 8
CHS8_2	Chitin synthase 8
CHS8_3	Chitin synthase 8
CHS8_4	Chitin synthase 8
CHS8_5	Chitin synthase 8
CHS8_6	Chitin synthase 8
CHS8_7	Chitin synthase 8
CHS8_8	Chitin synthase 8
CHS8_9	Chitin synthase 8
CHS8_10	Chitin synthase 8
CHS8_11	Chitin synthase 8
CHSA	Chalcone synthase A
CHT	Cyanide hydratase
CHT1.1	glycoside hydrolase family 18 protein
CHT1.2	glycoside hydrolase family 18 protein
CHT2	chitinase 2 precursor
CHTF8	Chromosome transmission fidelity protein 8
CHX19	Cation/H(+) antiporter 19
CHZ1	Histone H2A.Z-specific chaperone
CI072	Protein C9orf72
CIA1	Cytosolic iron-sulfur protein assembly protein
CIA2	iron-sulfur cluster assembly protein CIA2
CIA30	possible complex I intermediate associated protein
CIAPIN1	Anamorsin
CIB22	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
CIC1	proteasome-interacting protein CIC1
CID7	Polyadenylate-binding protein-interacting protein 7
CIK1	spindle pole body-associated protein CIK1
CIN1	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
CIN2	GTPase-activating protein CIN2
CIN4	Arf family GTPase CIN4
CIN5	transcriptional activator
CIN5-1	AP-1-like transcription factor
CIN5-2	AP-1-like transcription factor
CIN8	kinesin motor protein CIN8
CIPB	cipB protein
CIPK5	CBL-interacting protein kinase 5
CIPK11	CBL-interacting serine/threonine-protein kinase 11
CIPK11_0	CBL-interacting serine/threonine-protein kinase 11
CIPK11_1	CBL-interacting protein kinase 11
CIPK16	CBL-interacting serine/threonine-protein kinase 16
CIR1	Putative electron transfer flavoprotein subunit
CIS1	cik1 suppressing-related protein
CIS2	gamma-glutamyltransferase
CIS3	cik1 suppressing-related protein
CIT1	citrate (Si)-synthase
CIT2	citrate (si)-synthase, peroxisomal
CIT3	citrate synthase
CK1	casein kinase (serine/threonine/tyrosine protein kinase)
CK1a	casein kinase I
CK1b	casein kinase I
CK1c	casein kinase I
CK2A	casein kinase II subunit alpha CK2A
CK2B	casein kinase II subunit alpha CK2B
CKA1	Casein kinase II subunit alpha
CKA2	Casein kinase II subunit alpha'
CKB	casein kinase II, regulatory subunit
CKB1	casein kinase 2 regulatory subunit
CKB2	casein kinase 2 regulatory subunit
CKI1	bifunctional choline kinase/ethanolamine kinase CKI1
CKS1	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)
CKT1	choline kinase
CL004	Protein C12orf4
CLA4	Protein kinase
CLA4_0	Serine/threonine-protein kinase CLA4
CLA4_1	Serine/threonine-protein kinase CLA4
CLAH10	Aldehyde dehydrogenase
CLAH12	60S acidic ribosomal protein P1
CLAH12_0	60S acidic ribosomal protein P1
CLAH12_1	60S acidic ribosomal protein P1
CLAH12_2	60S acidic ribosomal protein P1
CLB1	B-type cyclin CLB1
CLB2	G2/mitotic-specific cyclin
CLB3	B-type cyclin CLB3
CLB4	B-type cyclin
CLB5	B-type cyclin CLB5
CLB6	B-type cyclin CLB6
CLC1	clathrin light chain
CLC3	voltage-gated protein/chloride channel
CLCN3	H(+)/Cl(-) exchange transporter 3
CLCN5	H(+)/Cl(-) exchange transporter 5
CLD1	carboxylic ester hydrolase
CLD1-1	Mitochondrial cardiolipin-specific phospholipase
CLD1-2	Mitochondrial cardiolipin-specific phospholipase
CLF1	NineTeen Complex (NTC) component
CLF1_0	Pre-mRNA-splicing factor CLF1
CLF1_1	Pre-mRNA-splicing factor CLF1
CLG1	cyclin-like protein
CLN1	cyclin CLN1
CLN2	G1/S-specific cyclin
CLN3	G1/S-specific cyclin CLN3
CLN3-1	G1/S-specific cyclin
CLN3-2	G1/S-specific cyclin
CLNS1A	Methylosome subunit pICln
CLP1	cleavage polyadenylation factor subunit CLP1
CLP2	CLP1-like protein
CLP3	clp1-like protein
CLP4	clp1-like protein
CLPP2	ATP-dependent Clp protease proteolytic subunit 2, mitochondrial
CLPTM1	Cleft lip and palate transmembrane protein 1 like protein
CLU1	intracellular distribution of mitochondria
CLYBL	Citrate lyase subunit beta-like protein, mitochondrial
CMC1	Mitochondrial aspartate/glutamate carrier protein Aralar/Citrin (contains EF-hand Ca2+-binding domains)
CMC2	Respiratory chain complex assembly or maintenance protein
CMC3	Endoglucanase 3
CMC4	Cx9C motif-containing protein 4, mitochondrial
CMD1	Calmodulin
CMD1_0	Calmodulin
CMD1_1	Calmodulin
CMK1	calmodulin-dependent protein kinase CMK1
CMK2	calmodulin-dependent protein kinase
CMLE1	beta carboxy-cis-cis-muconate lactonizing enzyme, cyloisomerase, CLME1
CMLE2	beta carboxy-cis-cis-muconate lactonizing enzyme, cyloisomerase, CLME2
CMP1	calcineurin catalytic subunit A
CMP2	calcineurin catalytic subunit A
CMR1	DNA damage-binding protein
CMR3	Putative zinc finger protein
CMS1	protein CMS1
CMT1	Alpha-1,3-mannosyltransferase CMT1
CNA1	3',5'-cyclic-nucleotide phosphodiesterase (PDEase) (3':5'-CNP)
CNA1_0	Serine/threonine-protein phosphatase 2B catalytic subunit A1
CNA1_1	Serine/threonine-protein phosphatase 2B catalytic subunit A1
CNB1	Calcineurin subunit B
CNB1_0	Calcineurin subunit B
CNB1_1	Calcineurin subunit B
CNB1_2	Calcineurin subunit B
CNB-1	Serine/threonine-protein phosphatase 2B catalytic subunit
CND2	Condensin complex subunit 2
CNE1	calnexin
CNH1	Na+/H+ antiporter
CNM67	chaotic nuclear migration-related protein
CNMT	(S)-coclaurine N-methyltransferase
CNN1	centromere-binding protein CNN1
CNOT4	CCR4-NOT transcription complex subunit 4
CNOT4_0	CCR4-NOT transcription complex subunit 4
CNOT4_1	CCR4-NOT transcription complex subunit 4
CNOT7	CCR4-NOT transcription complex subunit 7
CNS1	HSP70/90 family co-chaperone
COA1	cytochrome oxidase assembly protein 1
COA3	Cytochrome c oxidase assembly factor 3, mitochondrial
COA4	Cytochrome oxidase assembly factor 4
COA5	Dephospho-CoA kinase (Dephosphocoenzyme A kinase) (COAE)
COA6	Cytochrome c oxidase assembly factor 6
COAD	Phosphopantetheine adenylyltransferase
COAE	Dephospho-CoA kinase
COB	cytochrome b
COF1	cofilin
COG1	Golgi transport complex subunit COG1
COG2	Conserved oligomeric Golgi complex subunit 2
COG3	Golgi transport complex subunit COG3
COG4	Golgi transport complex subunit COG4
COG5	Conserved oligomeric Golgi complex subunit
COG6	Golgi transport complex subunit COG6
COG7	Golgi transport complex subunit COG7
COG8	conserved oligomeric Golgi complex component
COG9	Ubiquinone biosynthesis protein COQ9,mitochondrial
COL4A3BP	Collagen type IV alpha-3-binding protein
COL21A1_0	Collagen alpha-1(XXI) chain
COL21A1_1	Collagen alpha-1(XXI) chain
COM1	catechol o- methyltransferase
COP1	coatomer subunit alpha
COP3_0	Alpha-muurolene synthase
COP3_1	Alpha-muurolene synthase
COP3_2	Alpha-muurolene synthase
COP3_3	Alpha-muurolene synthase
COP3_4	Alpha-muurolene synthase
COP3_5	Alpha-muurolene synthase
COP4	Linoleate 10R-lipoxygenase COP4
COP4_0	Linoleate 10R-lipoxygenase COP4
COP4_1	Linoleate 10R-lipoxygenase COP4
COP9	Mov34/MPN/PAD1
COP9/CSN5	COP9 signalosome complex subunit 5
COPB	Coatomer subunit beta
COPB2	Coatomer subunit beta'
COPD3	Coatomer subunit delta-3
COPE	Coatomer subunit epsilon
COPG2	Coatomer subunit gamma-2
COPS5	COP9 signalosome complex subunit 5
COPS6	COP9 signalosome complex subunit 6
COPZ1	Coatomer subunit zeta-1
COQ1	COQ1 putative hexaprenyl diphosphate synthase
COQ2	Para-hydroxybenzoate--polyprenyltransferase, mitochondrial precursor (PHB:polyprenyltransferase)
COQ3	Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial
COQ4	Ubiquinone biosynthesis protein
COQ5	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase
COQ6	Putative ubiquinone biosynthesis monooxygenase
COQ7	ubiquinone biosynthesis monooxygenase Coq7
COQ8	Ubiquinone biosynthesis
COQ9	coenzyme Q
COQ10	coenzyme Q-binding protein COQ10
COQ10A	Coenzyme Q-binding protein COQ10 A, mitochondrial
COQ11	ubiquinone biosynthesis protein COQ11
COR1	ubiquinol-cytochrome c oxidoreductase complex subunit
CORA1	cora superfamily
COS111	Ciclopirox olamine resistance protein
COT1	cobalt toxicity
COX1	cytochrome c oxidase subunit 1
COX2	cytochrome c oxidase subunit 2
COX3	cytochrome c oxidase subunit 3
COX4	cytochrome c oxidase subunit IV
COX4_2	cytochrome c oxidase subunit 4 COX4
COX5	subunit VA of cytochrome c oxidase,COX5
COX5A	COX5A, subunit VA of cytochrome c oxidase
COX5B	cytochrome c oxidase subunit Vb
COX5a	cytochrome-c oxidase subunit Va
COX6	cytochrome c oxidase subunit VI
COX6A	OX6A subunit VIa of cytochrome c oxidase
COX6A_2	cytochrome c oxidase subunit 6A COX6A
COX6B	subunit VIb of cytochrome c oxidase,COX6B
COX6B_2	cytochrome c oxidase subunit 6B COX6B
COX7	Cytochrome c oxidase polypeptide VII
COX7A	subunit VIIa of cytochrome c oxidase
COX7A_2	cytochrome c oxidase subunit 7A COX9
COX7C	Cytochrome c oxidase subunit 7C, mitochondrial
COX8	cytochrome c oxidase subunit VIII
COX9	Cytochrome c oxidase subunit 7A
COX9_2	cytochrome c oxidase subunit 7A COX9
COX10	heme O synthase
COX11	cytochrome C oxidase
COX12	Cytochrome c oxidase polypeptide vib
COX13	Cytochrome c oxidase subunit 6A
COX14	cytochrome C oxidase
COX15	protein required for the hydroxylation of heme O to form heme A, COX15
COX16	Cytochrome oxidase assembly
COX17	copper metallochaperone COX17
COX18	membrane insertase COX18
COX19	Cytochrome c oxidase assembly protein COX19
COX20	COX: cytochrome oxidase, 20
COX23	Mitochondrial copper homeostasis protein
COXI	cytochrome c oxidase subunit I
COXII	cytochrome c oxidase subunit II
COY1	Putative protein with role in Golgi function
CP51	Cytochrome P450 51 (CYPLI) (P450-LIA1) (Sterol 14-alpha demethylase) (Lanosterol 14-alpha demethylase) (P450-14DM)
CP52C	Cytochrome P450 52A6 (CYPLIIA6) (Alkane-inducible P450-ALK3)
CP52L	Cytochrome P450 52A12 (Alkane hydroxylase 1) (Alkane-inducible p450alk 1) (DH-ALK2)
CP52M	Cytochrome P450 52A13 (Alkane hydroxylase 2) (Alkane-inducible p450alk 2) (DH-ALK2)
CPA	CPA zinc carboxipeptidase A
CPA1	Multifunctional pyrimidine synthesis protein CAD (includes carbamoyl-phosphate synthetase, aspartate transcarbamylase, and glutamine amidotransferase)
CPA2	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2
CPB2	corticosteroid- binding protein
CPC2101	condensin complex component SMC1
CPC2102	condensin complex component SMC4
CPC2103	condensin complex component SMC2
CPC2104	condensin complex component SMC3
CPC2401	condensin subunit SMC2
CPC2402	structural maintenance of chromosome protein 3
CPC2403	condensin complex component SMC1
CPC16201	condensin complex subunit SMC1
CPC16203	condensin complex subunit SMC2
CPC16204	structural maintenance of chromosome protein 3
CPC-1	Cross-pathway control protein 1
CPD1	2',3'-cyclic nucleotide 3'-phosphodiesterase
CPD2101	condensin component
CPD2401	chromosome condensation complex Condensin, subunit D2
CPD16201	chromosome condensation complex protein
CPG2401	chromosome condensation complex Condensin, subunit G
CPG16201	chromosome condensation complex protein
CPGL	Glutamate carboxypeptidase-like protein
CPH1	homeodomain family transcription factor
CPH2401	chromosome condensation complex Condensin, subunit H
CPIN1	Anamorsin
CPK1	Mitogen-activated protein kinase CPK1
CPL4	RNA polymerase II C-terminal domain phosphatase-like 4
CPO	Vanadium chloroperoxidase
CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
CPP1	tyrosine/serine/threonine protein phosphatase
CPR	NADPH--cytochrome P450 reductase
CPR1	PPIase
CPR1_0	Peptidyl-prolyl cis-trans isomerase
CPR2	Peptidyl-prolyl cis-trans isomerase
CPR3	peptidylprolyl isomerase
CPR4	peptidylprolyl isomerase family protein CPR4
CPR5	Peptidyl-prolyl cis-trans isomerase
CPR6	peptidyl-prolyl cis-trans isomerase D
CPR7	peptidylprolyl isomerase CPR7
CPR8	peptidylprolyl isomerase family protein CPR8
CPS1	Gly-Xaa carboxypeptidase
CPS1_0	Carboxypeptidase S1
CPS1_1	Carboxypeptidase S1
CPS1_2	Carboxypeptidase S
CPS1_3	Carboxypeptidase S1
CPS1_4	Carboxypeptidase S
CPS1_5	Carboxypeptidase S
CPSASE	carbomoyl phosphate synthetase large subunit
CPSF1	Cleavage and polyadenylation specificity factor subunit 1
CPSF2	cleavage and polyadenylation specificity factor subunit 2
CPSF3	Cleavage and polyadenylation specificity factor subunit 3
CPSF4	Cleavage and polyadenylation specificity factor subunit 4
CPT1	ethanolaminephosphotransferase
CPX	Coproporphyrinogen-III oxidase, chloroplastic
CPY1	carboxypeptidase C
CPY1_0	Carboxypeptidase Y
CPY1_1	Carboxypeptidase Y
CPYA	serine-type carboxypeptidase
CRAT_0	Carnitine O-acetyltransferase
CRAT_1	Carnitine O-acetyltransferase
CRC1	carnitine transporter
CRCP	DNA-directed RNA polymerase III subunit RPC9
CRD1	cardiolipin synthase
CRD2	cardiolipin synthase
CREA	DNA-binding protein creA
CREG1	Protein CREG1
CRF1	copper resistance protein
CRG1	S-adenosylmethionine-dependent methyltransferase
CRG71	S-AdoMet-dependent methyltransferase
CRH1	transglycosylase
CRH2	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain-containing protein
CRH11	transglycosylase
CRK1	cyclin-dependent serine/threonine protein kinase
CRK2	Cell division control protein 2
CRL1	GTP-binding protein (RHO4)
CRM1	Karyopherin transporter
CRN1	DUF1900 super family
CROP	Cisplatin overexpressed protein
CRP1	Cruciform DNA binding protein
CRR1	crh-related protein
CRS5	copper-resistant suppressor
CRT10	RNR2 and RNR3 transcriptional regulator
CRY1	Cryptochrome-1
CRYM	Ketimine reductase mu-crystallin
CRZ1	DNA-binding transcription factor
CRZ1_0	Transcriptional regulator CRZ1
CRZ1_1	Transcriptional regulator CRZ1
CRZ1_2	Transcriptional regulator CRZ1
CRZ2	calcineurin responsive zinc-finger
CS2	chitin synthase 2
CSA_0	Heat-stable antigen
CSA_1	Heat-stable antigen
CSC1	Calcium permeable stress-gated cation channel 1
CSC1-1	Calcium permeable stress-gated cation channel 1
CSC1-2	Calcium permeable stress-gated cation channel 1
CSC25	Ras family guanine nucleotide exchange factor
CSCA	Sucrose-6-phosphate hydrolase
CSD1	cysteine desulfurase Selenocysteine lyase
CSD2	cysteine desulfurase Selenocysteine lyase
CSD100	Putative cysteine desulfurase
CSE1	importin-alpha export receptor
CSE2	mediator of RNA polymerase II transcription subunit
CSE4	centromeric DNA-binding histone H3-like protein CSE4
CSF1	protein CSF1
CSG2	mannosylinositol phosphorylceramide synthase regulatory subunit
CSH1	CSG1/SUR1-like protein
CSH8	chitin synthase
CSI1	Interactor with COP9 signalosome (CSN) complex
CSK1	mitogen-activated protein kinase
CSK2A	Casein kinase II subunit alpha
CSK2B	Casein kinase II subunit beta
CSL4	exosome 3'->5 exonuclease subunit ski4 (Csl4)
CSM1	CSM1-like protein
CSM2	chromosome segregation in meiosis-related protein
CSM3	chromosome segregation in meiosis-related protein
CSM4	chromosome segregation in meiosis-related protein
CSN1b	COP9 signalosome complex subunit 1b
CSN5	proteasome regulatory particle subunit RPN11
CSN9	COP9 signalosome complex subunit 9
CSN12	COP9 signalosome (CSN) subunit
CSNK1A1	Casein kinase I isoform alpha
CSNK1D	Casein kinase I isoform delta
CSNK1E	Casein kinase I isoform epsilon
CSPD	Cold shock-like protein cspD
CSR1	phosphatidylinositol transfer protein CSR1
CSR1_0	Phosphatidylinositol transfer protein CSR1
CSR1_1	Phosphatidylinositol transfer protein CSR1
CSRP1	Cysteine and glycine-rich protein 1
CSRP2BP	Cysteine-rich protein 2-binding protein
CSS73	vitellogenin domain-containing protein
CST6	transcription factor
CST9	SUMO ligase CST9
CST20	mitogen-activated protein kinase kinase kinase kinase
CSTF2	Cleavage stimulation factor subunit 2
CSTF2_0	Cleavage stimulation factor subunit 2
CSTF2_1	Cleavage stimulation factor subunit 2
CTA1	peroxisomal catalase A
CTA4	Fungal transcriptional regulatory protein
CTA4.2	zinc finger transcription factor
CTA8	Heat shock transcription factor
CTA9	transactivator protein
CTAG	Cytochrome c oxidase assembly protein ctaG
CTBP1	C-terminal-binding protein 1
CTDSPL2	CTD small phosphatase-like protein 2
CTF1	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain
CTF1-ALPHA	Cutinase transcription factor 1 alpha
CTF1-BETA	Cutinase transcription factor 1 beta
CTF3	chromosome transmission fidelity-related protein
CTF4	chromatin-binding protein CTF4
CTF8	Chromosome transmission fidelity protein 8
CTF13	centromere DNA-binding protein complex CBF3 subunit C
CTF18	Subunit of a complex with Ctf18p
CTF19	kinetochore protein
CTH	Cystathionine gamma-lyase
CTH1	Member of the CCCH zinc finger family
CTI6	Histone deacetylase complex subunit
CTK1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I
CTK2	RNA polymerase II C-terminal domain kinase beta subunit
CTK3	RNA polymerase II C-terminal domain kinase gamma subunit
CTL1	polynucleotide 5'-phosphatase
CTL2B	CTD small phosphatase-like protein 2-B
CTM1	cytochrome c lysine N-methyltransferase
CTN	Cactin
CTN1	carnitine O-acetyltransferase
CTN3	carnitine O-acetyltransferase
CTNNBL1	Beta-catenin-like protein 1
CTNS	Cystinosin
CTR1	copper transport protein CTR1
CTR2	copper transpport protein
CTR2_0	Copper transport protein CTR2
CTR2_1	Copper transport protein CTR2
CTR3	Copper Transporter integral membrane protein that functions in high affinity copper transport
CTR5	Cu-transporting P-type ATPase
CTR6	Cu-transporting P-type ATPase
CTR7	Cu-transporting P-type ATPase
CTR9	protein required for normal CLN1 and CLN2 G1 cyclin expression
CTR86	copper transport protein
CTR-A	copper transporter
CTR-B	copper transporter
CTR-C	copper transporter
CTR-D	copper transporter
CTS1	Endochitinase 1
CTS1_1	Endochitinase 1
CTS1_2	Endochitinase 1
CTS1_3	Endochitinase 1
CTSD	plasmepsin-2
CTSD_3	Cathepsin D
CTSE	Cathepsin E
CTT1	catalase T
CTU2	Cytoplasmic tRNA 2-thiolation protein 2
CU	Cerato-ulmin
CUE1	coupling of ubiquitin conjugation to ER degradation
CUE2	coupling of ubiquitin conjugation to ER degradation
CUE3	CUE domain-containing protein 3
CUE4	coupling of ubiquitin conjugation to ER degradation
CUE5	ubiquitin-binding protein CUE5
CUL1	Cullin-1
CUL2	Cullin-2
CUL3	cullin-3
CUL3B	Cullin-3B
CUL4	Cullin-4
CUL4A	Cullin-4A
CUL4B	Cullin-4B
CUP1	metallothionein CUP1
CUP1-1	metallothionein CUP1
CUP1-2	metallothionein CUP1
CUP2	copper-binding transcription factor
CUP5	vacuolar ATPase V0 domain subunit c
CUP9	homeodomain super family
CUS1	U2 snRNP protein
CUS2	U2 snRNA and Prp11p binding protein
CUTC	Copper homeostasis protein cutC like protein
CUX1	Protein CASP
CUZ1	Ubiquitin-proteasome pathway
CVT9	oligomeric, coiled-coil, peripheral membrane protein
CWC2	Pre-mRNA-splicing factor
CWC15	complexed with cef1p
CWC21	RNA-splicing factor
CWC22	pre-mRNA-splicing factor CWC22
CWC23	U2-type spliceosomal complex subunit CWC23
CWC24	RNA-splicing factor
CWC25	RNA-splicing factor
CWC25-1	Pre-mRNA-splicing factor
CWC25-2	Pre-mRNA-splicing factor
CWC26	Pre-mRNA-splicing factor CWC26
CWC27	Peptidyl-prolyl isomerase CWC27
CWF19L2	CWF19-like protein 2
CWH41	Processing alpha glucosidase I
CWH43	protein CWH43
CWP1	cell wall mannoprotein
CWP2	cell wall mannoprotein
CXF1	Putative cation efflux family protein
CXT1	cryptococcal xylosyltransferase 1
CXT1_0	Beta-1,2-xylosyltransferase 1
